IP;BAN_DATE;UNBAN_DATE;REASON
5.178.87.183;1473102182;1475694185;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.189.144.70;1474800124;1474886524;"Брутфорс атака на сайт cheapholidaysblog.com/Brute force attack on site cheapholidaysblog.com"
5.189.155.90;1474660023;1475264823;"Брутфорс атака на сайт midori.kiev.ua/Brute force attack on site midori.kiev.ua"
5.196.166.190;1474802703;1474889106;"Паразитный трафик на сайт teplo.net.ua / Parasite traffic on site teplo.net.ua"
5.196.207.143;1473406142;1475998144;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.206.109.190;1473776881;1476368881;"Паразитный трафик на сайт crimea-mama.ru / Parasite traffic on site crimea-mama.ru"
5.206.232.115;1474821482;1474907884;"Брутфорс атака на сайт rozklad-bus.info/Brute force attack on site rozklad-bus.info"
5.227.124.208;1474395842;1475000643;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
5.246.63.168;1474797242;1474883646;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.248.249.216;1474658582;1475263382;"Брутфорс атака на сайт circuscraft.ru/Brute force attack on site circuscraft.ru"
5.249.143.36;1472410203;1475002204;"Паразитный трафик на сайт teplo.net.ua / Parasite traffic on site teplo.net.ua"
8.22.15.6;1474601822;1477193823;"Паразитный трафик на сайт appartamento.com.ua / Parasite traffic on site appartamento.com.ua"
12.198.9.23;1474803482;1474889888;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
13.66.58.208;1473697561;1476289564;"Паразитный трафик на сайт xn--80ahb2bpj1a.com / Parasite traffic on site xn--80ahb2bpj1a.com"
13.93.125.48;1474759082;1474845483;"Брутфорс атака на сайт pokupka.lviv.ua/Brute force attack on site pokupka.lviv.ua"
14.28.51.103;1474797902;1474884303;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
14.29.124.52;1474762021;1474848423;"Брутфорс атака на сайт gt-nrg.com/Brute force attack on site gt-nrg.com"
14.47.177.7;1474794662;1475399464;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
14.52.79.130;1472270882;1474862884;"Брутфорс атака на сайт artkati.in.ua/Brute force attack on site artkati.in.ua"
14.63.184.96;1473910081;1476502083;"Паразитный трафик на сайт bobershop.com.ua / Parasite traffic on site bobershop.com.ua"
14.102.145.224;1474814582;1474900984;"Паразитный трафик на сайт bobershop.com.ua / Parasite traffic on site bobershop.com.ua"
14.102.150.29;1473760442;1476352442;"Брутфорс атака на сайт karmacraft.ru/Brute force attack on site karmacraft.ru"
14.138.165.7;1472280062;1474872063;"Брутфорс атака на сайт project.smartlady.com.ua/Brute force attack on site project.smartlady.com.ua"
14.139.252.20;1473531484;1476123486;"Паразитный трафик на сайт stomatolog.ternopil.ua / Parasite traffic on site stomatolog.ternopil.ua"
